ImageName,Bicycle,Bridge,Bus,Car,Chimney,Crosswalk,Hydrant,Motorcycle,Other,Palm,Stair,Traffic Light
03000.png,0.43489647,0.28753582,0.3842869,0.36242437,0.46224725,0.13312115,0.02349373,1.156863,-0.018029897,-0.21706076,-0.3254824,0.7032977
03001.png,0.4284549,-0.45495424,0.032451853,1.2102903,0.19212829,0.007259453,1.3976936,0.19716582,0.5223853,-0.08728845,0.37604916,-0.46234614
03002.png,-0.47099146,0.108411245,-0.33210376,0.18472648,-0.009307903,-0.28868046,0.003842704,-0.2853473,-0.1787452,-0.011997199,0.3255252,-0.32742715
03003.png,0.1138432,-0.0824279,0.31466398,-0.80199873,0.3651478,-0.4021279,-0.49213475,0.34658507,0.4962907,0.7478725,-0.2786372,0.06581013
03004.png,-1.107625,-0.7953123,-0.5206517,-0.37682977,0.46700642,0.1391779,0.69731265,-0.5413531,-0.49052978,0.5078545,0.3582709,-0.3044766
03005.png,-0.38228372,-0.3619471,0.013343526,0.16395614,0.2678847,-0.3985888,0.5831636,-0.35700282,0.29999682,-0.20830756,0.29753262,-0.4295096
03006.png,-0.6118001,-0.03568805,-0.0814022,0.26318628,0.12415801,-0.5271851,0.42850855,-0.5162785,0.094779655,-0.0124312695,-0.050924025,-0.5929648
03007.png,0.10618641,0.024882784,0.40578625,-0.37352017,0.46848938,-0.0136276875,-0.6334727,0.30051237,0.2081609,0.40842888,-0.3112213,0.7293557
03008.png,0.80583316,0.3662774,0.28683212,0.0028959364,0.32673332,-0.077689685,-0.15654528,0.47893113,0.098953426,-0.40310043,-0.35969824,0.5176899
03009.png,-0.75129706,-0.6696539,-0.22107793,-0.056123465,0.45175287,-0.31348747,0.054424174,-0.6692679,0.43198332,0.6719918,-0.054048426,-0.39735857
03010.png,0.42098716,-0.10542265,0.3829464,-0.075365886,0.893815,-0.15020756,-0.46208298,0.27831486,-0.07359888,-0.47696745,-0.1535061,0.6972636
03011.png,-0.25532246,0.037532948,0.05014649,0.13651714,0.40283945,-1.0109372,0.22022921,-0.21958756,0.3450887,-0.3134138,-0.35885742,-0.11806041
03012.png,-0.04305798,-0.3272341,0.20541824,0.109123126,0.9733298,-0.1025304,0.86907715,0.60964894,-0.23166847,-1.4710886,-0.06256991,0.37137127
03013.png,0.8062491,-0.022887418,-0.029219674,0.2699004,0.45683226,0.13779332,-0.017340563,0.14888175,0.18369785,-0.5251201,-0.45820192,0.39628467
03014.png,0.72410595,0.24894659,0.09549554,0.30523622,0.33735353,-0.2933704,-0.34044856,0.47211272,-0.11290166,-0.49827343,-0.24138594,0.28232226
